drug_a,drug_b,label,baseline_prediction,without_molecular,without_protein,without_pathway,molecular_delta,protein_delta,pathway_delta,abs_molecular_delta,abs_protein_delta,abs_pathway_delta
DB00006,DB00233,1,0.9999974966049194,0.9686157703399658,0.004739962052553892,0.999798595905304,0.03138172626495361,0.995257556438446,0.00019890069961547852,0.03138172626495361,0.995257556438446,0.00019890069961547852
DB00006,DB00235,1,0.006898302119225264,0.005813082680106163,0.009128905832767487,0.002907757880166173,0.0010852194391191006,-0.002230603713542223,0.003990544006228447,0.0010852194391191006,0.002230603713542223,0.003990544006228447
DB00006,DB00244,1,1.0,0.9981685876846313,0.00044046284165233374,0.9999998807907104,0.0018314123153686523,0.9995595216751099,1.1920928955078125e-07,0.0018314123153686523,0.9995595216751099,1.1920928955078125e-07
DB00006,DB00261,1,0.5047159790992737,0.9583446383476257,0.013264991343021393,0.6553530693054199,-0.45362865924835205,0.4914509952068329,-0.15063709020614624,0.45362865924835205,0.4914509952068329,0.15063709020614624
DB00006,DB00294,1,0.9986703395843506,0.00931148137897253,0.016848698258399963,0.9984458088874817,0.9893588423728943,0.9818216562271118,0.00022453069686889648,0.9893588423728943,0.9818216562271118,0.00022453069686889648
DB00006,DB00344,1,0.9966267347335815,0.09610982239246368,0.6860047578811646,0.9979844093322754,0.900516927242279,0.310621976852417,-0.0013576745986938477,0.900516927242279,0.310621976852417,0.0013576745986938477
DB00006,DB00353,1,0.024943934753537178,0.00023224973119795322,0.43156880140304565,0.009223224595189095,0.02471168525516987,-0.40662485361099243,0.015720710158348083,0.02471168525516987,0.40662485361099243,0.015720710158348083
DB00006,DB00500,1,0.9999899864196777,0.8224971890449524,0.009525327011942863,0.9995142221450806,0.17749279737472534,0.9904646873474121,0.00047576427459716797,0.17749279737472534,0.9904646873474121,0.00047576427459716797
DB00006,DB00573,1,0.9993634819984436,0.07349462062120438,0.001270104548893869,0.9977492690086365,0.9258688688278198,0.9980933666229248,0.001614212989807129,0.9258688688278198,0.9980933666229248,0.001614212989807129
DB00006,DB00712,1,1.0,0.9999998807907104,0.0033958926796913147,0.9999946355819702,1.1920928955078125e-07,0.9966040849685669,5.364418029785156e-06,1.1920928955078125e-07,0.9966040849685669,5.364418029785156e-06
